OBJECTID,SA_GUID_2016,SA_GUID_2022,SA_PUB2011,SA_PUB2016,SA_PUB2022,SA_GEOGID_2022,SA_CHANGE_CODE,SA_URBAN_AREA_FLAG,SA_URBAN_AREA_NAME,SA_NUTS1,SA_NUTS1_NAME,SA_NUTS2,SA_NUTS2_NAME,SA_NUTS3,SA_NUTS3_NAME,ED_GUID,ED_OFFICIAL,ED_ENGLISH,ED_GAEILGE,ED_ID_STR,ED_PART_COUNT,COUNTY_CODE,COUNTY_ENGLISH,COUNTY_GAEILGE,CSO_LEA,Shape__Area,Shape__Length
15974,4c07d11e-0d00-851d-e053-ca3ca8c0ca7f,4c07d11e-0d00-851d-e053-ca3ca8c0ca7f,257011001,257011001,257011001,A257011001,0,0,,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,2ae19629-1e82-13a3-e055-000000000001,Y,BALLINGUILE,BAILE AN GHAILL,257011,1,15,WICKLOW,Cill Mhantáin,BALTINGLASS,25556132.6838074,25187.7413396345
15975,4c07d11e-0d01-851d-e053-ca3ca8c0ca7f,4c07d11e-0d01-851d-e053-ca3ca8c0ca7f,257008002,257008002,257008002,A257008002,0,0,,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,2ae19629-1e76-13a3-e055-000000000001,Y,BALLINDERRY,BAILE AN DOIRE,257008,1,15,WICKLOW,Cill Mhantáin,ARKLOW,7730486.89416504,14007.0955121343
15976,4c07d11e-0d03-851d-e053-ca3ca8c0ca7f,4c07d11e-0d03-851d-e053-ca3ca8c0ca7f,257008001,257008001,257008001,A257008001,0,0,,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,2ae19629-1e76-13a3-e055-000000000001,Y,BALLINDERRY,BAILE AN DOIRE,257008,1,15,WICKLOW,Cill Mhantáin,ARKLOW,13441670.4276123,18753.7316725476
15977,4c07d11e-0d05-851d-e053-ca3ca8c0ca7f,4c07d11e-0d05-851d-e053-ca3ca8c0ca7f,257030003,257030003,257030003,A257030003,0,0,,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,2ae19629-1edb-13a3-e055-000000000001,Y,DUNGANSTOWN EAST,BAILE UÍ DHONNAGÁIN THOIR,257030,1,15,WICKLOW,Cill Mhantáin,WICKLOW,10490293.335083,18399.7335038549
15978,4c07d11e-0636-851d-e053-ca3ca8c0ca7f,4c07d11e-0636-851d-e053-ca3ca8c0ca7f,167080003,167080003,167080003,A167080003,0,0,,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,2ae19629-181b-13a3-e055-000000000001,Y,SKREEN,AN SCRÍN,167080,1,11,MEATH,An Mhí,ASHBOURNE,8080013.02587891,15814.6872434251
15979,4c07d11e-0802-851d-e053-ca3ca8c0ca7f,4c07d11e-0802-851d-e053-ca3ca8c0ca7f,057114001/057114015,057114007,057114007/057114001/057114015,A057114007/A057114001/A057114015,2,0,,IE0,Ireland,IE04,Northern and Western,IE041,Border,2ae19629-2044-13a3-e055-000000000001,Y,MAGHERACLOGHER,MACHAIRE CHLOCHAIR,057114,11,33,DONEGAL,Dún na nGall,GLENTIES,9042885.89065552,57132.5746063978
15980,4c07d11e-0ced-851d-e053-ca3ca8c0ca7f,4c07d11e-0ced-851d-e053-ca3ca8c0ca7f,197107002,197107002,197107002,A197107002,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-19ec-13a3-e055-000000000001,Y,THOMASTOWN,BAILE THOMÁIS,197107,1,30,ROSCOMMON,Ros Comáin,ATHLONE,8086063.7409668,17356.2647379659
15981,4c07d11e-0cf2-851d-e053-ca3ca8c0ca7f,4c07d11e-0cf2-851d-e053-ca3ca8c0ca7f,197068001,197068001,197068001,A197068001,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-1a17-13a3-e055-000000000001,Y,KILCAR,CILL CHÁIR,197068,1,30,ROSCOMMON,Ros Comáin,ATHLONE,15692694.1960754,19708.392983152
15982,4c07d11e-0cf3-851d-e053-ca3ca8c0ca7f,4c07d11e-0cf3-851d-e053-ca3ca8c0ca7f,197018001,197018001,197018001,A197018001,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-1ad6-13a3-e055-000000000001,Y,BALLYNAMONA,BAILE NA MÓNA,197018,1,30,ROSCOMMON,Ros Comáin,ATHLONE,8931513.69558716,13881.2695584273
15983,4c07d11e-0cf5-851d-e053-ca3ca8c0ca7f,4c07d11e-0cf5-851d-e053-ca3ca8c0ca7f,197080003,197080003,197080003,A197080003,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-199a-13a3-e055-000000000001,Y,KILTOOM,CILL TUAMA,197080,1,30,ROSCOMMON,Ros Comáin,ATHLONE,4675528.10769653,11906.7128632789
15984,4c07d11e-1063-851d-e053-ca3ca8c0ca7f,4c07d11e-1063-851d-e053-ca3ca8c0ca7f,047240003,047240003,047240003,A047240003,0,0,,IE0,Ireland,IE05,Southern,IE053,South-West,2ae19629-216b-13a3-e055-000000000001,Y,LISGOOLD,LIOS CÚIL,047240,1,18,CORK,Corcaigh,MIDLETON,5054190.10165405,15748.6009461005
15985,4c07d11e-1065-851d-e053-ca3ca8c0ca7f,4c07d11e-1065-851d-e053-ca3ca8c0ca7f,047302002,047302002,047302002,A047302002,0,0,,IE0,Ireland,IE05,Southern,IE053,South-West,2ae19629-21e4-13a3-e055-000000000001,Y,TEMPLEBODAN,TEAMPALL BUADÁIN,047302,1,18,CORK,Corcaigh,MIDLETON,10235341.990387,16490.7598454815
