FID,cdo_1,twoway,bollardpro,Shape_Leng,Shape_Le_1,Shape__Len
90,SegregatedCycleLane,0,0,0.28838297,288.382968,482.7732209
91,SegregatedCycleLane,1,0,0.04818247,48.18247223,80.58710973
92,SignedRoute,0,0,0.51438666,514.3866607,862.4536719
93,Footway level Cycle Track,0,0,0.109276,109.2760004,183.1592189
94,Footway level Cycle Track,0,0,0.00892924,8.929237371,14.94536508
95,SegregatedCycleLane,1,0,0.11659118,116.591178,195.2442743
96,SegregatedCycleLane,1,0,0.11317522,113.1752191,189.4898883
97,Footway level Cycle Track,0,0,0.24079946,240.7994616,403.5868822
98,SegregatedCycleLane,0,0,0.32201816,322.0181576,539.12032
99,Footway level Cycle Track,0,0,0.14661193,146.6119301,245.6004549
100,SegregatedCycleLane,1,0,0.02644891,26.4489083,44.29863805
101,SegregatedCycleLane,1,0,0.05607852,56.07851919,93.74956263
102,Footway level Cycle Track,0,0,0.02367223,23.67222941,39.69584113
103,Footway level Cycle Track,0,0,0.23643961,236.4396148,396.4087249
104,Footway level Cycle Track,0,0,0.10576443,105.7644279,177.0778765
105,Footway level Cycle Track,0,0,0.04018867,40.18867263,67.38901151
106,Footway level Cycle Track,0,0,0.01331429,13.31428959,22.3341141
107,Footway level Cycle Track,0,0,0.04160685,41.60682311,69.77769588
108,TrafficFree,1,0,0.03255764,32.55764119,54.42969225
109,TrafficFree,1,0,0.00538516,5.385164807,9.024193506
110,TrafficFree,1,0,0.12907617,129.0761691,215.8221523
111,TrafficFree,1,0,0.03470943,34.70942815,58.05358942
112,Footway level Cycle Track,0,0,0.07526831,75.26830504,126.11797
113,Footway level Cycle Track,0,0,0.78351296,783.5129577,1311.479281
114,TrafficFree,1,0,0.06466065,64.66065264,108.2054117
115,TrafficFree,1,0,0.029,29,48.5068754
116,TrafficFree,1,0,0.03052868,30.52867504,51.11000702
117,TrafficFree,1,0,0.00943398,9.433981132,15.79314831
118,Footway level Cycle Track,0,0,0.07903665,79.03664685,132.4153919
119,TrafficFree,1,0,0.02814393,28.14392992,47.15728068
120,TrafficFree,1,0,0.00412311,4.123105626,6.910386748
121,TrafficFree,1,0,0.04468781,44.68780594,74.83614855
122,Footway level Cycle Track,0,0,0.33967338,339.6733786,569.7456522
123,TrafficFree,1,0,0.05492742,54.92741536,92.04289094
124,Footway level Cycle Track,0,0,0.70242818,702.4281756,1175.231077
125,TrafficFree,1,0,0.06935416,69.35416354,116.249806
126,TrafficFree,1,0,0.40752665,407.5266521,681.730397
127,Footway level Cycle Track,0,0,0.23262926,232.6292794,389.4335255
128,TrafficFree,1,0,0.08204221,82.04221023,137.4522194
129,TrafficFree,1,0,0.02531798,25.3179778,42.43727755
130,TrafficFree,1,0,0.18375031,183.7503145,307.9925598
131,TrafficFree,1,0,0.05217279,52.17278984,87.48858224
132,SegregatedCycleLane,0,1,1.15727324,1157.273238,1936.744006
133,TrafficFree,1,0,0.06789698,67.89698079,113.8634574
134,TrafficFree,1,0,0.01236932,12.36931688,20.6988926
135,TrafficFree,1,0,0.41992797,419.9279669,702.8792103
136,TrafficFree,1,0,0.03962199,39.62198619,66.37647514
137,TrafficFree,1,0,0.04234075,42.34075192,70.86794277
138,TrafficFree,1,0,0.02118034,21.18033989,35.48698
139,TrafficFree,1,0,0.09861015,98.61014615,164.9029854
140,TrafficFree,1,0,0.17783771,177.8377117,297.3809592
141,TrafficFree,1,0,0.20013496,200.1349619,334.5333427
142,TrafficFree,1,0,0.03677816,36.77815978,61.52576437
143,TrafficFree,1,0,0.01708801,17.08800749,28.64347017
144,TrafficFree,1,0,0.0254951,25.49509757,42.71686864
145,TrafficFree,1,0,0.03757659,37.57658846,62.87373285
146,TrafficFree,1,0,0.09652839,96.52839434,161.5827025
147,TrafficFree,1,0,0.07102112,71.02112362,119.1032097
148,TrafficFree,1,0,0.05916925,59.16924877,99.12752476
149,TrafficFree,1,0,0.56997583,569.9758301,954.1212675
150,Footway level Cycle Track,0,0,0.04077702,40.77701721,68.17167449
151,TrafficFree,1,0,0.10952954,109.5295443,183.4913578
152,TrafficFree,1,0,0.11648823,116.4882321,195.1491992
153,TrafficFree,1,0,0.65469203,654.6920342,1095.495425
154,TrafficFree,1,0,0.15698408,156.9840756,262.8576966
155,TrafficFree,1,0,0.01104536,11.04536102,18.52181311
156,TrafficFree,1,0,0.05917722,59.17721738,99.01565601
157,TrafficFree,1,0,0.14263069,142.6306894,238.6990178
158,TrafficFree,1,0,0.36996358,369.9635805,618.5343969
159,TrafficFree,1,0,0.0956404,95.64039581,160.1009461
160,TrafficFree,1,0,0.01264911,12.64911064,21.16189737
161,TrafficFree,1,0,0.28429231,284.2923061,475.8035458
162,TrafficFree,1,0,0.01044031,10.44030651,17.46348825
163,TrafficFree,1,0,0.13830701,138.3070107,231.1845196
164,TrafficFree,1,0,0.20667286,206.6728602,346.1674996
165,TrafficFree,1,0,0.03569531,35.69530844,59.71152731
166,TrafficFree,1,0,0.07276944,72.76944016,121.817301
167,TrafficFree,1,0,0.04063613,40.63613451,68.14114897
168,TrafficFree,1,0,0.05967906,59.67905631,99.85341056
169,TrafficFree,1,0,0.08093887,80.93887201,135.7167267
170,TrafficFree,1,0,0.0150333,15.03329638,25.21215343
171,TrafficFree,1,0,0.0130384,13.03840481,21.80433489
172,TrafficFree,1,0,0.03071603,30.71603438,51.34276609
173,TrafficFree,1,0,0.02973214,29.73213749,49.67835467
174,TrafficFree,1,0,0.05515433,55.15432893,92.36602849
175,TrafficFree,1,0,0.32386126,323.8612639,541.5981169
176,Footway level Cycle Track,0,0,0.33801187,338.0118389,565.5283833
177,TrafficFree,1,0,0.01552417,15.5241747,26.01803128
178,TrafficFree,1,0,0.02024846,20.24845673,33.83059707
179,TrafficFree,1,0,0.01476482,14.76482306,24.7484885
180,SegregatedCycleLane,0,1,1.64726406,1647.264055,2756.201736
181,TrafficFree,1,0,0.02284732,22.84731932,38.30256975
182,TrafficFree,1,0,0.04853999,48.54004364,81.18559518
183,TrafficFree,1,0,0.02923382,29.2338181,48.97671764
184,TrafficFree,1,0,0.01702939,17.02938637,28.53505045
185,TrafficFree,1,0,0.19365749,193.6574889,324.3193228
186,TrafficFree,1,0,0.02061553,20.61552813,34.49390027
187,TrafficFree,1,0,0.00894427,8.94427191,14.9651458
188,TrafficFree,1,0,0.07818568,78.18567644,130.9887885
189,TrafficFree,1,0,0.16576995,165.7699546,277.1747318
190,TrafficFree,1,0,0.08746275,87.46274713,146.4021612
191,TrafficFree,1,0,0.01019804,10.19803903,17.07308397
192,TrafficFree,1,0,0.06926484,69.26484259,116.1099111
193,TrafficFree,1,0,0.15728023,157.2802273,263.7117697
194,TrafficFree,1,0,0.04964877,49.64876635,83.00039889
195,TrafficFree,1,0,0.05303772,53.03772242,88.70147807
196,TrafficFree,1,0,0.0286531,28.65309756,48.00569539
197,TrafficFree,1,0,0.0601415,60.14149982,100.7070487
198,TrafficFree,1,0,0.10171957,101.719571,170.0253076
199,TrafficFree,1,0,0.01421267,14.2126704,23.79863962
200,TrafficFree,1,0,0.02705868,27.05868476,45.31502408
201,TrafficFree,1,0,0.04998647,49.98647021,83.63004084
202,TrafficFree,1,0,1.23238127,1232.381268,2061.405968
203,TrafficFree,1,0,0.33860233,338.6023291,566.4348846
204,TrafficFree,1,0,0.10570627,105.7062733,177.1427986
205,TrafficFree,1,0,0.02915476,29.15475947,48.85402475
206,TrafficFree,1,0,0.03522783,35.22782991,58.91690708
207,TrafficFree,1,0,0.05601417,56.01417167,93.71732506
208,TrafficFree,1,0,0.01612452,16.1245155,26.97440229
209,TrafficFree,1,0,0.06282518,62.82518232,105.3051757
210,TrafficFree,1,0,0.00761577,7.615773106,12.74628103
211,TrafficFree,1,0,0.05803447,58.03447251,97.17296004
212,TrafficFree,1,0,0.012,12,20.10723772
213,TrafficFree,1,0,0.03140064,31.40063694,52.61094764
214,TrafficFree,1,0,0.02692582,26.92582404,45.12895227
215,TrafficFree,1,0,0.07297345,72.97345479,122.1446118
216,TrafficFree,1,0,0.22338939,223.3893871,373.4662253
217,Footway level Cycle Track,0,0,0.08010602,80.10602346,134.2239388
218,TrafficFree,1,0,0.09884451,98.84451234,165.2477958
219,TrafficFree,1,0,0.10794589,107.9458925,180.5787035
220,TrafficFree,1,0,0.00583095,5.830951895,9.762567858
221,TrafficFree,1,0,0.08440296,84.40295816,141.4150368
222,TrafficFree,1,0,0.02544031,25.44030651,42.49525508
223,TrafficFree,1,0,0.03642349,36.4234865,60.87466594
224,Painted Cycle Lane,0,0,0.06930336,69.30335533,116.0336113
225,TrafficFree,1,0,0.01941649,19.41648784,32.45788842
226,TrafficFree,1,0,0.09850888,98.50888285,165.0562329
227,TrafficFree,1,0,0.02042128,20.42128469,34.16280675
228,TrafficFree,1,0,0.03932408,39.32408296,65.79867118
229,TrafficFree,1,0,0.29622651,296.2265123,496.4000611
230,TrafficFree,1,0,0.02874717,28.74717008,48.08103945
231,TrafficFree,1,0,0.03956008,39.56008089,66.26340486
232,TrafficFree,1,0,0.54619431,546.1943127,912.7108234
233,TrafficFree,1,0,0.04505267,45.05267156,75.38791018
234,TrafficFree,1,0,0.03026549,30.2654919,50.75590595
235,TrafficFree,1,0,0.07031516,70.31516266,117.7471769
236,TrafficFree,1,0,0.04840477,48.40477056,81.14533298
237,TrafficFree,1,0,0.01360147,13.60147051,22.76264453
238,TrafficFree,1,0,0.16224298,162.2429767,271.3806029
239,TrafficFree,1,0,0.06648308,66.48308055,111.3404623
240,TrafficFree,1,0,0.0245153,24.51530134,40.95026648
241,TrafficFree,1,0,0.33248393,332.4839252,555.9271908
242,TrafficFree,1,0,0.07071068,70.71067812,118.5857766
243,TrafficFree,1,0,0.02973244,29.73244464,49.79343961
244,TrafficFree,1,0,0.06019452,60.19452487,100.8872581
245,TrafficFree,1,0,0.01345362,13.45362405,22.53416912
246,TrafficFree,1,0,0.14224084,142.2408376,238.0262889
247,TrafficFree,1,0,0.56352796,563.5279649,942.8437218
248,TrafficFree,1,0,0.02624881,26.2488095,44.00089376
249,TrafficFree,1,0,0.03162278,31.6227766,52.91905391
250,TrafficFree,1,0,0.07247194,72.47194296,121.1683824
251,TrafficFree,1,0,0.56611861,566.1186146,947.1440274
252,TrafficFree,1,0,0.10779157,107.7915665,180.6568686
253,TrafficFree,1,0,0.17645401,176.4540123,295.4348188
254,TrafficFree,1,0,0.10073099,100.7309903,168.8489788
255,TrafficFree,1,0,0.21995985,219.9598454,367.9647272
256,TrafficFree,1,0,0.06419213,64.19212572,107.427739
257,TrafficFree,1,0,0.66609379,666.0937932,1114.343309
258,TrafficFree,1,0,0.0180156,18.01559566,30.11391427
259,TrafficFree,1,0,0.71313594,713.1359372,1192.270045
260,TrafficFree,1,0,0.59214454,592.1445355,990.4719516
261,TrafficFree,1,0,0.03354102,33.54101966,56.02541957
262,TrafficFree,1,0,0.04447885,44.47885147,74.48711611
263,TrafficFree,1,0,0.12079129,120.7912892,202.188952
264,TrafficFree,1,0,0.03535534,35.35533906,59.10547903
265,TrafficFree,1,0,0.01676305,16.76305461,28.09170766
266,TrafficFree,1,0,0.10228618,102.2861818,170.9253342
267,TrafficFree,1,0,0.92121883,921.2187967,1541.836594
268,TrafficFree,1,0,1.86686938,1866.869383,3124.143772
269,TrafficFree,1,0,0.02820773,28.20773281,47.27401814
270,TrafficFree,1,0,0.01756022,17.56021978,29.40240869
271,TrafficFree,1,0,0.42931602,429.3160156,718.1936744
272,TrafficFree,1,0,1.46182175,1461.821745,2443.086799
273,TrafficFree,1,0,0.07127333,71.27333174,119.3796606
274,TrafficFree,1,0,0.07638257,76.38256505,127.9737781
275,TrafficFree,1,0,0.03498571,34.98571137,58.57226428
276,TrafficFree,1,0,0.10792543,107.9254338,180.3822359
277,TrafficFree,1,0,0.0476754,47.6753989,79.88600604
278,TrafficFree,1,0,0.06920158,69.20158358,115.8976104
279,TrafficFree,1,0,0.10019052,100.1905236,167.7192269
280,TrafficFree,1,0,0.15906104,159.0610412,266.3008994
281,TrafficFree,1,0,0.07156773,71.56773408,119.6380421
282,TrafficFree,1,0,0.39961151,399.611512,668.1708097
283,TrafficFree,1,0,0.39248564,392.4856412,657.9648123
284,TrafficFree,1,0,0.05908609,59.08609487,98.95523366
285,TrafficFree,1,0,0.07030728,70.30728051,117.8373159
286,TrafficFree,1,0,0.05961543,59.61543424,99.67408447
287,TrafficFree,1,0,0.13502492,135.0249249,226.109631
288,TrafficFree,1,0,0.01392839,13.92838828,23.34180661
289,TrafficFree,1,0,0.04110961,41.10960958,68.73560547
290,TrafficFree,1,0,0.04433761,44.33760507,74.20969634
291,TrafficFree,1,0,0.11208962,112.0896189,187.6689667
292,TrafficFree,1,0,0.18127678,181.2767751,303.4745654
293,TrafficFree,1,0,0.02344335,23.44334883,39.24652095
294,TrafficFree,1,0,0.02308679,23.08679276,38.68412997
295,TrafficFree,1,0,0.03324154,33.24154028,55.69856071
296,TrafficFree,1,0,0.04528128,45.28128497,75.7186384
297,TrafficFree,1,0,0.01587251,15.87250742,26.59794495
298,TrafficFree,1,0,0.30865632,308.6563192,516.9295053
299,TrafficFree,1,0,0.08039767,80.39767227,134.8062127
300,TrafficFree,1,0,0.12846658,128.4665847,214.9018703
301,TrafficFree,1,0,0.23988173,239.8817337,401.427128
302,TrafficFree,1,0,0.09758074,97.5807358,163.3908468
303,TrafficFree,1,0,0.0274792,27.47919732,45.93757282
304,TrafficFree,1,0,0.07006815,70.06814664,117.1713038
305,TrafficFree,1,0,0.09342659,93.42658569,156.3988744
306,TrafficFree,1,0,0.12633284,126.3328367,211.4558142
307,TrafficFree,1,0,0.14938252,149.3825194,249.9861148
308,TrafficFree,1,0,0.03894054,38.94053988,65.18355581
309,TrafficFree,1,0,0.10796677,107.9667736,180.9395482
310,TrafficFree,1,0,0.32274994,322.7499373,539.5453647
311,TrafficFree,1,0,0.02,20,33.47288751
312,TrafficFree,1,0,0.01220656,12.20655562,20.44342144
313,TrafficFree,1,0,0.11226102,112.261023,187.9346311
314,TrafficFree,1,0,0.01456022,14.56021978,24.3637
315,TrafficFree,1,0,0.07,70,117.0856059
316,TrafficFree,1,0,0.03842011,38.42010728,64.337637
317,TrafficFree,1,0,0.03106445,31.06444913,51.92758943
318,TrafficFree,1,0,0.04761405,47.61405097,79.72488895
319,TrafficFree,1,0,0.00728011,7.280109889,12.20181823
320,TrafficFree,1,0,0.01273506,12.73505726,21.28796356
321,TrafficFree,1,0,0.03252965,32.52964612,54.42792704
322,TrafficFree,1,0,0.12578204,125.782039,210.4789496
323,TrafficFree,1,0,0.06276036,62.76036198,104.9056982
324,TrafficFree,1,0,0.02635942,26.35941564,44.13068803
325,TrafficFree,1,0,0.06894926,68.9492567,115.4740145
326,TrafficFree,1,0,0.022,22,36.83296781
327,Footway level Cycle Track,0,0,0.02943164,29.43164396,49.29373315
328,Footway level Cycle Track,0,0,0.01785646,17.8564635,29.92080957
329,Footway level Cycle Track,0,0,0.05627703,56.27703009,94.29799015
330,Footway level Cycle Track,0,0,0.04186346,41.8634577,70.13490163
331,SegregatedCycleLane,1,0,0.48452604,484.5260423,810.7495877
332,SegregatedCycleLane,1,0,0.26333644,263.3364441,440.0374475
333,TrafficFree,1,0,0.05907622,59.07622195,98.82139443
334,TrafficFree,1,0,0.11414214,114.1421416,191.3739091
335,TrafficFree,1,0,0.07472536,74.72536389,125.1611144
336,SegregatedCycleLane,1,0,0.51747051,517.470513,864.9358638
337,TrafficFree,1,0,0.04091331,40.91330694,68.34521185
338,TrafficFree,1,0,0.06491,64.90999731,108.7213238
339,TrafficFree,1,0,0.01252996,12.52996409,20.99935677
340,TrafficFree,1,0,0.02828427,28.28427125,47.32127651
341,TrafficFree,1,0,0.03428127,34.28127458,57.44035252
342,TrafficFree,1,0,0.04476161,44.76160725,74.82889588
343,TrafficFree,1,0,0.04894882,48.94881731,81.77805077
344,TrafficFree,1,0,0.02118962,21.1896201,35.50357614
345,TrafficFree,1,0,0.01529706,15.29705854,25.59372123
346,TrafficFree,1,0,0.0351141,35.11409973,58.87261958
347,Footway level Cycle Track,0,0,0.021394,21.39399948,35.84720856
348,TrafficFree,1,0,0.03036445,30.3644529,50.88729945
349,TrafficFree,1,0,0.1401614,140.1614024,234.4444406
350,TrafficFree,1,0,0.07026379,70.26378868,117.5350983
351,TrafficFree,1,0,0.12625709,126.2570881,211.403575
352,TrafficFree,1,0,0.07255027,72.55026914,121.3044479
353,TrafficFree,1,0,0.25250128,252.5012777,422.6830525
354,TrafficFree,1,0,0.00806226,8.062257748,13.52069455
355,Footway level Cycle Track,0,0,0.08368796,83.68795618,139.9938142
356,TrafficFree,1,0,0.04031129,40.31128874,67.55021638
357,TrafficFree,1,0,0.08672548,86.72548386,145.1104874
358,TrafficFree,1,0,0.3936456,393.645603,657.8684464
359,TrafficFree,1,0,0.11827088,118.2708755,198.175047
360,TrafficFree,1,0,0.03306055,33.06055051,55.27627891
361,TrafficFree,1,0,0.14305637,143.0563718,239.7730256
362,TrafficFree,1,0,0.77977445,779.7744521,1303.138266
363,TrafficFree,1,0,0.79607605,796.0760538,1331.603774
364,TrafficFree,1,0,0.07373602,73.73601562,123.4853405
365,TrafficFree,1,0,0.0220319,22.03190006,36.90395069
366,TrafficFree,1,0,0.07830483,78.30482553,130.9889054
367,TrafficFree,1,0,0.05636743,56.36742988,94.31729826
368,TrafficFree,1,0,0.14612075,146.1207454,244.4472911
369,TrafficFree,1,0,0.01802776,18.02775638,30.16335072
370,TrafficFree,1,0,0.02418677,24.18677324,40.526116
371,TrafficFree,1,0,0.03911521,39.11521443,65.54086241
372,TrafficFree,1,0,0.07129914,71.29913835,119.2191885
373,TrafficFree,1,0,0.02060618,20.6061757,34.50565312
374,TrafficFree,1,0,0.07616322,76.16321619,127.5778099
375,TrafficFree,1,0,0.13042657,130.4265731,218.2736212
376,Footway level Cycle Track,0,0,0.66666103,666.6610259,1116.143593
377,TrafficFree,1,0,0.34317279,343.1727914,573.7437476
378,TrafficFree,1,0,0.11767467,117.6746733,197.1847435
379,TrafficFree,1,0,0.04567676,45.67676065,76.52445993
380,TrafficFree,1,0,0.05348832,53.48831648,89.58123541
381,TrafficFree,1,0,0.40999405,409.9940519,685.7623917
382,TrafficFree,1,0,0.02202272,22.02271555,36.93172056
383,TrafficFree,1,0,0.55685131,556.8513106,931.5788955
